"SpeciesID"	"SpecCode"	"Species"	"Genus"	"AphiaID"	"Class"	"Order"	"Family"	"Fresh"	"Brack"	"Saltwater"	"DemersPelag"	"AnaCat"
"106"	"Fis-165311"	10294	"Ostorhinchus apogonoides"	"Ostorhinchus"	"712645"	"Actinopterygii"	"Perciformes"	"Apogonidae"	0	0	1	"reef-associated"	NA
"107"	"Fis-33858"	10296	"Champsodon capensis"	"Champsodon"	"220337"	"Actinopterygii"	"Perciformes"	"Champsodontidae"	0	0	1	"demersal"	NA
"108"	"Fis-27751"	10298	"Oxyurichthys ophthalmonema"	"Oxyurichthys"	"219530"	"Actinopterygii"	"Perciformes"	"Gobiidae"	1	1	1	"demersal"	NA
"109"	"Fis-33860"	10299	"Psenes arafurensis"	"Psenes"	"273681"	"Actinopterygii"	"Perciformes"	"Nomeidae"	0	0	1	"pelagic-oceanic"	NA
"110"	"Fis-21661"	103	"Grammatorcynus bicarinatus"	"Grammatorcynus"	"278433"	"Actinopterygii"	"Perciformes"	"Scombridae"	0	0	1	"reef-associated"	"oceanodromous"
"111"	"Fis-23466"	1030	"Cheilopogon melanurus"	"Cheilopogon"	"272157"	"Actinopterygii"	"Beloniformes"	"Exocoetidae"	0	0	1	"pelagic-neritic"	"oceanodromous"
"112"	"Fis-27753"	10301	"Takifugu vermicularis"	"Takifugu"	"278431"	"Actinopterygii"	"Tetraodontiformes"	"Tetraodontidae"	0	0	1	"demersal"	NA
"113"	"Fis-33861"	10302	"Triacanthodes ethiops"	"Triacanthodes"	"219871"	"Actinopterygii"	"Tetraodontiformes"	"Triacanthodidae"	0	0	1	"demersal"	NA
"114"	"Fis-27754"	10303	"Takifugu porphyreus"	"Takifugu"	"278424"	"Actinopterygii"	"Tetraodontiformes"	"Tetraodontidae"	0	0	1	"demersal"	NA
"115"	"Fis-33862"	10304	"Tydemania navigatoris"	"Tydemania"	"221469"	"Actinopterygii"	"Tetraodontiformes"	"Triacanthodidae"	0	0	1	"demersal"	NA
